"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"ttarjeta_visa__tend"	0.141946987187008	0.00495279828335072	0.00221163131171542
"2"	"mcaja_ahorro_Paquete"	0.109807623783936	0.00691255900903755	0.00473475999127807
"3"	"tmovimientos_ultimos90dias"	0.0986386106257575	0.00513397940897642	0.00327072236239604
"4"	"mv_Finiciomora"	0.0267206978852119	0.00373828446067572	0.00190013394386817
"5"	"mcuentas_saldo"	0.0214585291737603	0.00674392696163581	0.00436096314986138
"6"	"cliente_antiguedad__tend"	0.0211910045868155	0.0153175840867731	0.00320842288882659
"7"	"mprestamos_personales"	0.0210156752466307	0.00615417743548119	0.00457901130735445
"8"	"mtarjeta_visa_consumo"	0.0175957223266474	0.00263273876506308	0.00158863657602093
"9"	"mcuenta_corriente_Paquete"	0.0107831137021214	0.00274599163645623	0.00320842288882659
"10"	"mv_mpagospesos"	0.0107644491519141	0.00162240725993877	0.000809893156402828
"11"	"tplan_sueldo"	0.00937144512381979	0.0032444598566261	0.00146403762888204
"12"	"mv_marca_atraso__tend"	0.00849874157016379	0.000740003678223325	0.00112139052425007
"13"	"mdescubierto_preacordado__min"	0.00748288163126734	7.15063858412703e-05	0.000155748683923621
"14"	"mcuentas_saldo__tend"	0.00649775594665276	0.00295433268956387	0.00339532130953493
"15"	"marketing_coss_selling__tend"	0.00547736465751544	0.00379178227565265	0.00299037473133352
"16"	"mplan_sueldo"	0.00512161850537591	0.00476977259522485	0.00140173815531259
"17"	"mv_cuenta_estado2"	0.00410739098213583	0.00048043221435147	0.000591844998909759
"18"	"ctarjeta_visa_transacciones"	0.00401932707969914	0.00330710375447439	0.00221163131171542
"19"	"tmovimientos_ultimos90dias__tend"	0.00394403392831115	0.00389523324252463	0.00398716630844469
"20"	"marketing_coss_selling"	0.00384108317029586	0.00435053628023554	0.00339532130953493
"21"	"mdescubierto_preacordado"	0.00384001243964201	0.00214226426174407	0.00074759368283338
"22"	"mv_fechaalta"	0.00375514109965903	0.000688749651670419	0.00146403762888204
"23"	"mv_msaldototal"	0.00341657624777521	0.000434458905702709	0.000934492103541725
"24"	"mpasivos_margen"	0.00334251688219787	0.00197074061897785	0.00158863657602093
"25"	"Visa_marca_atraso__tend"	0.00316895028945429	0.00102582206213268	0.000903342366757001
"26"	"mv_mpagominimo"	0.00293090776749371	0.000942797639659907	0.00115254026103479
"27"	"mrentabilidad_annual__tend"	0.00269895035679886	0.00467662584820797	0.00423636420272249
"28"	"tplan_sueldo__min"	0.00258790779206538	0.000412930658880636	0.000436096314986138
"29"	"mprestamos_personales__tend"	0.0025605409603392	0.00282395926531558	0.00233623025885431
"30"	"mplan_sueldo__tend"	0.00251352804079285	0.00547091897755322	0.001806684733514
"31"	"mactivos_margen"	0.00241693383956339	0.00387769103874637	0.003613369467028
"32"	"canarito83"	0.00234836012225086	0.00445572355525173	0.00557580288446563
"33"	"mv_mpagospesos__max"	0.00225426122749051	0.00128663400110898	0.000872192629972277
"34"	"mcuenta_corriente_Paquete__tend"	0.00225057680419737	0.00280771809628486	0.00380026788773635
"35"	"ctarjeta_visa_transacciones__tend"	0.00210923068135994	0.00288784437100851	0.00242967946920849
"36"	"ccomisiones_mantenimiento__tend"	0.0020959018351733	0.0022588387242756	0.00171323552315983
"37"	"canarito58"	0.00205517788751302	0.00292763891110635	0.00485935893841697
