experimento	ganancia obtenida	mes test	undersampling	semilla xgboost	semilla undersampling	max_bin	subsample	nround_max	nround_early_stopping	pventana	nround	peta	palpha	plambda	pgamma	pmin_child_weight	pmax_depth	pcolsample_bytree	
XGBoost01-Filtrado	9293500	201904	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	10827500	201903	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	10792500	201902	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	9503000	201901	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	11488500	201812	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	10660500	201811	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	9617500	201810	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	12090500	201809	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	11579000	201808	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	11579000	201808	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	10600000	201807	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	12223500	201806	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	10152500	201805	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
XGBoost01-Filtrado	11699500	201804	1	751007	11111	31	1	700	60	12	195	0.1120538	11.28638	50.26443	4.916879	44.43739	17	0.9772757	
