"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"ttarjeta_visa__tend"	0.168605808522662	0.00724906179336433	0.00372635199694248
"2"	"tmovimientos_ultimos90dias"	0.136508031415577	0.00683115453296263	0.00683164532772788
"3"	"mcaja_ahorro_Paquete"	0.113011026230438	0.00898316044877014	0.0084559526084464
"4"	"mv_Finiciomora"	0.0322093827571707	0.00485366228174587	0.00401299445824575
"5"	"mcuentas_saldo"	0.0315643810784464	0.00808413732654092	0.00816931014714313
"6"	"mprestamos_personales"	0.0257036541479499	0.00647161868132876	0.00783489394228932
"7"	"cliente_antiguedad__tend"	0.0249772880257619	0.0192030514023348	0.00573284922606535
"8"	"mtarjeta_visa_consumo"	0.0233878026482009	0.00324780300537786	0.00291419835658322
"9"	"mdescubierto_preacordado__min"	0.0115727078328715	0.000293434571104976	0.000334416204853812
"10"	"tplan_sueldo"	0.0115520885062753	0.00360238849295969	0.00200649722912287
"11"	"mv_mpagospesos"	0.0104667912808519	0.00297483162098991	0.00210204471622396
"12"	"mv_marca_atraso__tend"	0.00987348480091064	0.00121498489103976	0.00167208102426906
"13"	"mcuenta_corriente_Paquete"	0.00874350758642641	0.00289363461727454	0.00611503917446971
"14"	"Visa_marca_atraso__tend"	0.0083261248690396	0.00166180402781325	0.00191094974202178
"15"	"mcuentas_saldo__tend"	0.00686960231722196	0.00545188777657326	0.00721383527613224
"16"	"marketing_coss_selling__tend"	0.00686069682534767	0.00534566300623047	0.00511179055990827
"17"	"mplan_sueldo"	0.00678408666922555	0.00620118474650231	0.00262755589527995
"18"	"ctarjeta_visa_transacciones"	0.00581844862708599	0.00393688393313919	0.00343970953563921
"19"	"marketing_coss_selling"	0.00553579609259227	0.00561844965479074	0.00635390789222243
"20"	"mv_cuenta_estado2"	0.00536300072386771	0.00161526163632892	0.00200649722912287
"21"	"tmovimientos_ultimos90dias__tend"	0.00529343904991996	0.00472943881140364	0.00711828778903115
"22"	"mv_fechaalta"	0.00426642788963299	0.00210766506027901	0.00219759220332505
"23"	"tplan_sueldo__min"	0.00414723897361151	0.00100052441717268	0.00100324861456144
"24"	"mprestamos_personales__tend"	0.00372475211062112	0.00486251412116707	0.00506401681635773
"25"	"mv_mpagominimo"	0.00338878853196009	0.00155495374790412	0.00195872348557233
"26"	"mpasivos_margen"	0.00323591399726731	0.00497353164123757	0.00420408943244793
"27"	"mrentabilidad_annual__tend"	0.00310383762015562	0.00554821773627921	0.00754825148098605
"28"	"mcuenta_corriente_Paquete__tend"	0.00294511207095052	0.00531461656361842	0.00793044142939041
"29"	"Visa_mpagospesos"	0.00291275269186656	0.00158257122758088	0.00272310338238104
"30"	"mactivos_margen"	0.00270078248870162	0.00442604126049839	0.00539843302121154
"31"	"mplan_sueldo__avg"	0.00269918216885143	0.00442915269844928	0.00234091343397669
"32"	"Visa_cuenta_estado"	0.00268843425059449	0.000213309497113403	0.000716606153258169
"33"	"ccomisiones_mantenimiento__tend"	0.00263034086992429	0.00295812438963632	0.00272310338238104
"34"	"mv_mpagominimo__tend"	0.00262094052859632	0.00170202388422032	0.00315306707433594
"35"	"mttarjeta_visa_debitos_automaticos__tend"	0.00260245390739616	0.00327015586213065	0.00410854194534684
"36"	"ctarjeta_visa_transacciones__tend"	0.00252183308081252	0.0058904081463704	0.00501624307280718
"37"	"ctarjeta_debito_transacciones"	0.00247994185593811	0.00122252705233788	0.000955474871010892
"38"	"mdescubierto_preacordado"	0.00245049893406721	0.0026094810489285	0.00133766481941525
"39"	"mv_msaldototal"	0.00240509397986517	0.00128145773036762	0.00157653353716797
"40"	"mrentabilidad__min"	0.00234714523643933	0.00430579008741979	0.00511179055990827
"41"	"mv_msaldopesos"	0.00233836148868143	0.000757560036674075	0.0012898910758647
"42"	"mactivos_margen__tend"	0.00232337782084392	0.00404013590461721	0.00683164532772788
"43"	"mrentabilidad"	0.00226849271870569	0.00263569085893091	0.00482514809860501
"44"	"tcaja_seguridad"	0.00224686429536063	0.00276032701604186	0.00105102235811198
"45"	"mcomisiones_mantenimiento__tend"	0.00207783949131957	0.00176653993596874	0.00425186317599847
"46"	"mplan_sueldo__tend"	0.00201097280636713	0.00558507638429946	0.00257978215172941
"47"	"mcuenta_corriente_Paquete__avg"	0.00198633038530462	0.00300650201755667	0.00482514809860501
